station,train_MAE,train_MSE,test_MAE,test_MSE
Anchieta Centro,0.8199279377213593,0.8199279377213593,0.8226273563734291,0.8226273563734291
Carapina,0.7668280364746655,0.7668280364746655,0.8730593315421866,0.8730593315421866
Cariacica,1.2275017607092553,1.2275017607092553,1.0676210097565595,1.0676210097565595
Cidade Continental,0.9699207681813412,0.9699207681813412,1.0704528708269567,1.0704528708269567
Enseada do Sua,0.8081035410934322,0.8081035410934322,0.8250787733519463,0.8250787733519463
Jardim Camburi,0.5578088427461623,0.5578088427461623,0.5426400914883189,0.5426400914883189
Laranjeiras,1.3515572687623287,1.3515572687623287,0.9312721403268198,0.9312721403268198
Mae-Ba,0.8438445963495549,0.8438445963495549,0.6970561277367534,0.6970561277367534
Meaipe,0.7354319660641059,0.7354319660641059,0.8353317998048236,0.8353317998048236
Ubu,0.8196144581574104,0.8196144581574104,0.8229119062731408,0.8229119062731408
Vila Velha-Centro,0.7225277974923113,0.7225277974923113,0.6970590433606189,0.6970590433606189
Vila Velha-IBES,0.863700637570433,0.863700637570433,0.7343668782595922,0.7343668782595922
Vitoria-Centro,0.7496808542778762,0.7496808542778762,0.6316141546887102,0.6316141546887102
