station,test_MAE,test_MSE
Ubu,4.348578480106242,6.272163729492745
Vila Velha-Centro,4.556000632989156,6.159933035229935
Vila Velha-IBES,3.7688981060032543,5.435468060018993
Vitoria-Centro,3.366497476787961,4.72380248171132
