station,linear_regression train,linear_regression test,moving_average train,moving_average test,naive_forecast train,naive_forecast test
Anchieta Centro,0.7236622904840151,0.8543409532214035,12.006710458321718,11.660109571421506,0.8199279377213593,0.8226273563734291
Carapina,0.8406429423452818,0.9158761560208944,8.151093096515925,9.258926934235632,0.7668280364746655,0.8730593315421866
Cariacica,1.1782980942722097,1.0356450420065095,14.635123188811042,12.82062520702726,1.227501760709255,1.0676210097565595
Cidade Continental,1.269091678222606,1.5509459201491516,11.628704405135924,13.27800497621468,0.9699207681813412,1.0704528708269567
Enseada do Sua,0.9625176184077756,0.9348053617083892,12.027381219487951,12.742285286256486,0.8081035410934322,0.8250787733519463
Jardim Camburi,0.6413319435561595,0.6613379249745079,8.945128570151963,5.503291048997323,0.5578088427461623,0.5426400914883189
Laranjeiras,1.5833523151764222,1.0094123295480195,21.4313083216965,13.988726152479282,1.3515572687623287,0.9312721403268198
Mae-Ba,0.8720512241159354,0.7696385161694201,10.688314382260964,13.11827121261526,0.8438445963495549,0.6970561277367534
Meaipe,0.7793761816743521,0.988619460090103,11.24533872710452,13.865913764210324,0.7354319660641059,0.8353317998048236
Ubu,0.9136245212979656,0.8677770631399032,11.44030172828728,9.551484708318272,0.8196144581574104,0.8229119062731408
Vila Velha-Centro,0.7500099774240825,0.7205634861336703,7.009082549934087,7.683563804403014,0.7225277974923113,0.6970590433606189
Vila Velha-IBES,0.9394592401765092,0.853656923671471,9.56991548367722,8.961992851432507,0.863700637570433,0.7343668782595922
Vitoria-Centro,0.8957343384959807,0.6907723975433667,10.889956360816324,6.615364158515536,0.7496808542778762,0.6316141546887102
