station,train_MAE,train_MSE,test_MAE,test_MSE
Anchieta Centro,0.4349356562953877,1.617572132236338,0.44273412372422905,1.3832139198211626
Carapina,0.40524157393211896,0.7934247487899492,0.4258435907686489,0.6545225710959004
Cariacica,0.6255744068768908,1.7674964379934277,0.527199236250054,1.3127561058421349
Cidade Continental,0.5184517570933986,1.7938043980325586,0.5911817747982836,2.7361234617440497
Enseada do Sua,0.42545576060393914,0.9619472079438551,0.3832654577361893,0.5326154371071588
Jardim Camburi,0.31799020655970567,0.52805581715524,0.3170631297054378,0.4647740514086194
Laranjeiras,0.7434949016006289,3.1331646611266213,0.5083509772358978,1.7807423198669345
Mae-Ba,0.48761628756419856,1.7155915747984836,0.49616624410347837,2.3708517661362682
Meaipe,0.43328338308543746,1.396931646175937,0.4822471478684785,1.7676294575037785
Ubu,0.477471841755182,1.9416748860524935,0.4836676784462693,1.5273436515604009
Vila Velha-Centro,0.3894717658873855,0.6811845734728055,0.38885987399598654,0.7121633685120808
Vila Velha-IBES,0.517642208517799,1.2978643701107861,0.44300923671709014,0.8721794322517349
Vitoria-Centro,0.38015797921519096,0.9632558273361124,0.3643644545394311,0.8921726558862588
