Station,Train_MAE,Train_MSE,Test_MAE,Test_MSE
Anchieta Centro,0.34347882366593285,1.3174027176314147,0.4334345534011559,1.371147325383454
Carapina,0.3345991488109574,0.6199484028788795,0.4332298655755125,0.6983617784909693
Cariacica,0.49959467863637985,1.520739801016168,0.4217996466534034,1.1182961679101504
Cidade Continental,0.4550404523955719,1.614570243867584,0.5241090740079365,2.5457475403682532
Enseada do Sua,0.311607385752764,0.7085014278641906,0.389823479499877,0.576795708755181
Jardim Camburi,0.2530470830334603,0.46684906133803994,0.2640949149019608,0.4174928427738541
Laranjeiras,0.6321241642807707,2.7693152326589954,0.43463860756614664,1.6231558919257327
Mae-Ba,0.4332327080930475,1.5871834400559175,0.4406068429756354,2.3034617789107235
Meaipe,0.3630662639722799,1.3053479709099267,0.4034609404936205,1.6348289956423327
Ubu,0.4126102044232918,1.8323985920838408,0.4205319138095237,1.4323105888867327
Vila Velha-Centro,0.3308563673424968,0.5990735680611571,0.3364029420895528,0.6547988936512833
Vila Velha-IBES,0.37799106485053524,0.88785110194121,0.46039713741789307,0.9190261848431879
Vitoria-Centro,0.30343063569148815,0.772516508136214,0.34744174508040276,0.8846878328138362
