station,train_MAE,train_MSE,test_MAE,test_MSE
Anchieta Centro,9.128702086345893,12.006478561284482,9.281932840365247,11.661289785248501
Carapina,6.220432367385455,8.151173989089905,7.004222188595628,9.259551797810607
Cariacica,11.627708300361856,14.634866989711561,9.841113364618304,12.816259867650068
Cidade Continental,8.429747251863729,11.629231681758162,9.823120133017056,13.278743773361812
Enseada do Sua,8.902205131510252,12.027407070770382,9.409370152058061,12.742601080480679
Jardim Camburi,6.535091633138848,8.945006680664422,4.312676761111328,5.503436388447418
Laranjeiras,16.866972559335096,21.429882948413933,10.932945441646087,13.989645377717087
Mae-Ba,8.196226300676654,10.688627600240306,10.141144391795468,13.120768731646981
Meaipe,8.87241317368363,11.244666330085181,10.259086606298284,13.864053528579035
Ubu,8.74376458384486,11.440423602163795,7.521761618244025,9.55245093441104
Vila Velha-Centro,5.479561959389438,7.009190638608914,5.969313146719722,7.684229898612569
Vila Velha-IBES,7.332471854654996,9.56960446481846,6.81593226038408,8.962972091977822
Vitoria-Centro,8.046955079818575,10.890046419954233,5.1819046000457405,6.615892578478561
